Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,hobbs,throttlePct,imuTemp,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,rpm.rpm1,rpm.rpm2,rpm.rpm3,rpm.rpm4,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2025-10-02 15:03:41.806,-0.2,0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,-0.0,0.0,-322.8,-347.8,0.000,0.000,0.000,0.000,0.0,00:00:00,0.0,0.0,1,--.--,0,--.--,--.--,0000:16:39,0,0,0,1,1,16.20,-1.00,0,--.--,100,--.--,--:--:--,1,-16.20,15:03:41,13:03:41,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,12.000,0.000,12.000,1.000,1.030,1.000,1.030,16.172,16.172,16.172,16.172,true,true,true,true,true,true,false,false,true,true,false,false,0.00,0.00,0.00,0.05,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368759,8.8840170,32TMQ 90769 20404,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-0.0,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,1.6,1.2,-2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:42.737,-0.2,0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,0.0,0.0,-322.8,-347.8,0.000,0.000,0.000,0.000,0.0,00:00:00,0.0,0.0,1,--.--,0,--.--,--.--,0000:16:39,19,0,0,1,1,16.17,-1.00,0,--.--,100,--.--,--:--:--,1,-16.17,15:03:42,13:03:42,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,1128.000,1212.000,1146.000,1194.000,3.820,4.030,3.865,3.985,16.142,16.142,16.142,16.142,true,true,true,true,true,true,false,false,true,true,false,false,0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368759,8.8840170,32TMQ 90769 20404,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.7,--.--,--.--,--.--,--.--,0.0,0.0,1.6,1.2,-2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:43.751,-0.2,0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,0.0,0.0,-322.8,-347.8,0.001,0.000,0.000,0.000,0.0,00:00:00,0.0,0.0,1,--.--,0,--.--,--.--,0000:16:39,38,0,0,1,1,16.17,-1.00,0,--.--,100,--.--,--:--:--,1,-16.17,15:03:43,13:03:43,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2208.000,2394.000,2256.000,2346.000,6.520,6.985,6.640,6.865,16.112,16.112,16.112,16.112,true,true,true,true,true,true,false,false,true,true,false,false,0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368759,8.8840170,32TMQ 90769 20404,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.2,--.--,--.--,--.--,--.--,0.0,-0.0,1.6,1.3,-2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:44.739,0.1,-0.1,1,-1.3,2.5,-0.0,0.1,0.0,0.000,0.2,0.0,-322.8,-347.8,0.023,0.000,0.000,0.000,0.0,00:00:01,0.0,0.0,1,--.--,0,--.--,--.--,0000:16:39,50,0,0,1,1,16.11,-1.00,0,--.--,100,--.--,--:--:--,1,-16.11,15:03:44,13:03:44,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3024.000,3030.000,3024.000,3024.000,8.560,8.575,8.560,8.560,16.082,16.082,16.082,16.082,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,0.00,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368760,8.8840170,32TMQ 90769 20404,0.0,0.0,25.9,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-0.0,0.0,0.0,-0.2,0.0,0.0,-0.0,-0.0,-0.0,-0.7,--.--,--.--,--.--,--.--,-0.3,0.7,1.6,-2.5,5.0,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:45.738,-0.3,0.7,1,-0.1,0.2,0.1,0.0,0.0,0.000,0.9,0.5,-322.3,-347.8,0.514,0.000,0.000,0.000,0.0,00:00:02,0.0,1.7,1,--.--,0,--.--,--.--,0000:16:39,52,0,0,1,1,16.11,-1.00,0,--.--,100,--.--,--:--:--,1,-16.11,15:03:45,13:03:45,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3132.000,3132.000,3132.000,3132.000,8.830,8.830,8.830,8.830,16.052,16.052,16.052,16.052,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,0.00,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368764,8.8840173,32TMQ 90769 20404,0.0,0.0,29.7,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-0.5,0.0,0.0,-0.9,0.0,0.0,-0.5,-0.0,-0.0,-1.2,--.--,--.--,--.--,--.--,-0.4,0.9,1.6,-0.4,1.0,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:46.738,-0.3,0.6,1,0.1,-0.2,-0.0,0.0,0.0,0.000,1.4,1.7,-321.1,-347.3,1.682,0.000,0.000,0.000,0.0,00:00:03,0.1,2.1,1,--.--,0,--.--,--.--,0000:16:39,49,0,0,1,1,16.05,-1.00,0,--.--,100,--.--,--:--:--,1,-16.05,15:03:46,13:03:46,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2934.000,2934.000,2946.000,2946.000,8.335,8.335,8.365,8.365,16.022,16.022,16.022,16.022,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368765,8.8840174,32TMQ 90769 20404,0.0,0.0,189.3,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.1,0.0,-1.7,-0.0,-0.0,-1.4,0.0,0.0,-1.7,-0.1,-0.0,-1.5,--.--,--.--,--.--,--.--,-0.3,0.6,1.5,-0.0,0.0,-0.4,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:47.740,-0.2,0.2,1,0.2,-0.5,-0.0,0.0,0.0,0.000,1.4,3.1,-319.7,-346.1,3.132,0.000,0.000,0.000,0.0,00:00:04,0.0,0.6,1,--.--,0,--.--,--.--,0000:16:39,48,0,0,1,1,16.05,-1.00,0,--.--,100,--.--,--:--:--,1,-16.05,15:03:47,13:03:47,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2934.000,2934.000,2934.000,2934.000,8.335,8.335,8.335,8.335,15.992,15.992,15.992,15.992,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368762,8.8840173,32TMQ 90769 20404,0.0,0.0,203.3,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-3.1,-0.0,-0.0,-1.4,0.0,0.0,-3.2,-0.0,-0.0,-1.5,--.--,--.--,--.--,--.--,-0.2,0.1,1.7,0.2,-0.4,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:48.740,-0.0,0.1,1,0.1,0.1,-0.1,0.0,0.0,0.000,1.5,4.6,-318.2,-344.7,4.640,0.000,0.000,0.000,0.0,00:00:05,0.0,0.7,1,--.--,0,--.--,--.--,0000:16:39,48,0,0,1,1,15.99,-1.00,0,--.--,99,--.--,--:--:--,1,-15.99,15:03:48,13:03:48,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2916.000,2916.000,2910.000,2910.000,8.290,8.290,8.275,8.275,15.962,15.962,15.962,15.962,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368758,8.8840169,32TMQ 90769 20404,0.0,0.0,238.7,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,0.0,-4.6,-0.0,-0.0,-1.5,0.0,0.0,-4.7,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-0.0,0.1,1.7,0.0,0.2,0.1,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:49.751,-0.1,0.3,1,-0.1,0.2,0.1,0.0,0.0,0.000,1.5,6.2,-316.7,-343.2,6.153,0.000,0.000,0.000,0.0,00:00:06,0.0,1.6,1,--.--,0,--.--,--.--,0000:16:39,48,0,0,1,1,15.99,-1.00,0,--.--,99,--.--,--:--:--,1,-15.99,15:03:49,13:03:49,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2898.000,2898.000,2892.000,2892.000,8.245,8.245,8.230,8.230,15.932,15.932,15.932,15.932,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368759,8.8840168,32TMQ 90769 20404,0.0,0.0,12.2,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,-6.2,0.0,0.0,-1.5,0.0,0.0,-6.2,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-0.1,0.3,1.7,-0.1,0.2,0.1,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-02 15:03:50.737,-0.2,0.5,1,-0.1,-0.0,-0.1,0.0,0.0,0.000,1.5,7.7,-315.2,-341.7,7.664,0.000,0.000,0.000,0.0,00:00:07,0.0,1.1,1,--.--,0,--.--,--.--,0000:16:39,48,0,0,1,1,15.93,-1.00,0,--.--,96,--.--,--:--:--,1,-15.93,15:03:50,13:03:50,02/10/2025,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2898.000,2898.000,2892.000,2898.000,8.245,8.245,8.230,8.245,15.902,15.902,15.902,15.902,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,0.01,0.00,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.4368761,8.8840170,32TMQ 90769 20404,0.0,0.0,53.6,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,-0.0,-7.7,0.0,0.0,-1.5,0.0,0.0,-7.7,-0.0,0.0,-1.5,--.--,--.--,--.--,--.--,-0.2,0.5,1.7,-0.1,-0.0,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
